id	text	lang	favorite_count	retweet_count	username	userlocation	source	userstatuses_count	userfollowers_count	userfriends_count	created_at
451949237383598081	Y on gods green earth am I out of all people your number one snspchat bestfriend😳	en	0	0	Marisa Jane Graves	St.Charles, MO	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	14182	371	70	Fri Apr 04 05:07:49 +0000 2014
451949237408759809	【緩募】キャラクロの4/17:B(13:20～)2名枠が当たったんですがタイバニ好きで時間空いてる方いらっしゃいませんか！早朝から昼まで仕事だから応募してみたら当たったんだけど皆仕事だよね..._(┐「ε:)_	ja	0	0	那加＊マスシャルください		"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	77734	812	474	Fri Apr 04 05:07:49 +0000 2014
451949237400383488	@B1ackJesus01 how high?	en	0	0	nessss	cali	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	8802	329	195	Fri Apr 04 05:07:49 +0000 2014
451949237375221760	"【bot】艦これ、NOeSIS好きな人RT
#拡散希望"	ja	0	0	はる		"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>"	4260	3243	3519	Fri Apr 04 05:07:49 +0000 2014
451949237383614465	Grayson's been up to some Black and White 2. Check it out! http://t.co/9tlB1M44Fc	en	0	0	RejectedShotgun	Las Vegas, Nevada, USA	web	269	952	43	Fri Apr 04 05:07:49 +0000 2014
451949237387816960	Urusin dulu mantan yang ada dihati kamu, kalo udah bersih. Baru boleh sayang sama aku. :)	in	0	0	Aurel lorenza		web	272	174	805	Fri Apr 04 05:07:49 +0000 2014
451949237391990784	二代目火影の奴なかなかやるじゃねぇかよ！オイ！	ja	0	0	二代目水影		"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>"	27042	53	17	Fri Apr 04 05:07:49 +0000 2014
451949237387788288	使えずに埃かぶってるよかいいんでない？	ja	0	0	ヒメ介@3月の気分屋	ｺﾀﾄｩ	"<a href=""https://twitter.com/TheWorld_JP"" rel=""nofollow"">TheWorld for iOS</a>"	92747	393	348	Fri Apr 04 05:07:49 +0000 2014
451949237391998976	@willsfashiontag excited #WillsFashionTag	en	0	0	Vaibhav Dahima	In mY hOmE!!	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>"	8259	2349	66	Fri Apr 04 05:07:49 +0000 2014
451949237400371200	デッドリフトはいい種目だよな。大好きだ！	ja	0	0	トレーニング好きの妹bot		"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>"	7649	427	539	Fri Apr 04 05:07:49 +0000 2014
